Date,Description,Deposit Amount,Withdrawal Amount,Notes,Category Name,Category Id,Ledger Id,Ledger Name,Description_clean
15-08-2025,UPI-APOLLO PHARMACY-MISC-248087,0.0,5048.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI APOLLO PHARMACY MISC
13-03-2026,UPI-DMART-COACHING FEES,0.0,2214.0,,Education & Books,10,308,Education Expense Ledger,UPI DMART COACHING FEES
23-12-2025,UPI-AK JUICE CENTRE-CLOTHING,0.0,9232.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI AK JUICE CENTRE CLOTHING
04-11-2025,RELIANCE DIGITAL SUBSCRIPTION-466008,0.0,2743.0,,Entertainment,8,306,Entertainment Expense Ledger,RELIANCE DIGITAL SUBSCRIPTION
27-05-2025,UPI-ZERODHA BROKING LTD-CAB RIDE,0.0,14631.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI ZERODHA BROKING LTD CAB RIDE
27-05-2025,UPI-OLA CABS-MOBILE BILL,0.0,3341.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI OLA CABS MOBILE BILL
22-04-2025,CC BILL PAYMENT-667518127,0.0,67707.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,CC BILL PAYMENT
10-02-2026,UPI-ZOMATO-MOBILE BILL,0.0,1649.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI ZOMATO MOBILE BILL
05-11-2025,DOMINOS PIZZA SUBSCRIPTION-883441,0.0,4360.0,,Entertainment,8,306,Entertainment Expense Ledger,DOMINOS PIZZA SUBSCRIPTION
14-12-2025,UPI-IRCTC UTS-CAB RIDE,0.0,3770.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI IRCTC UTS CAB RIDE
08-04-2025,NEFT CR-SALARY-ASSET VANTAGE,58322.0,0.0,,Salary Income,1,201,Salary Ledger,NEFT CR SALARY ASSET VANTAGE
20-03-2026,UPI-DMART-MUMBAI TRIP,0.0,12771.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI DMART MUMBAI TRIP
29-01-2026,UPI-DOMINOS PIZZA-PHARMACY,0.0,6504.0,,Health & Medical,9,307,Medical Expense Ledger,UPI DOMINOS PIZZA PHARMACY
17-06-2025,BANK TRANSFER-HOUSE RENT-229350,0.0,33470.0,,Rent & Housing,4,302,Rent Expense Ledger,BANK TRANSFER HOUSE RENT
06-06-2025,UPI-NETFLIX-SHOPPING,0.0,19646.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI NETFLIX SHOPPING
06-06-2025,RELIANCE DIGITAL SUBSCRIPTION-380618,0.0,672.0,,Entertainment,8,306,Entertainment Expense Ledger,RELIANCE DIGITAL SUBSCRIPTION
20-07-2025,UPI-NETFLIX-PHARMACY,0.0,6766.0,,Health & Medical,9,307,Medical Expense Ledger,UPI NETFLIX PHARMACY
09-10-2025,OCT 2025 SALARY CREDIT,41633.0,0.0,,Salary Income,1,201,Salary Ledger,OCT SALARY CREDIT
05-09-2025,UPI-FLIPKART-SHOPPING,0.0,11049.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI FLIPKART SHOPPING
16-07-2025,UPI-STARBUCKS-CAB RIDE,0.0,11880.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI STARBUCKS CAB RIDE
09-11-2025,UPI-CREDCLUB-PHARMACY,0.0,3337.0,,Health & Medical,9,307,Medical Expense Ledger,UPI CREDCLUB PHARMACY
21-05-2025,UPI-OLA CABS-JUICE,0.0,686.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI OLA CABS JUICE
16-07-2025,BHARGAV SANDEEP DESAI SUBSCRIPTION-953695,0.0,4766.0,,Entertainment,8,306,Entertainment Expense Ledger,BHARGAV SANDEEP DESAI SUBSCRIPTION
12-08-2025,UPI-AIRTEL PAYMENTS BANK-LUNCH,0.0,1904.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI AIRTEL PAYMENTS BANK LUNCH
14-09-2025,UPI-AK JUICE CENTRE-CAB RIDE,0.0,12919.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI AK JUICE CENTRE CAB RIDE
11-01-2026,RENT PAYMENT-303127,0.0,38933.0,,Rent & Housing,4,302,Rent Expense Ledger,RENT PAYMENT
12-06-2025,UPI-APOLLO PHARMACY-CONCERT TICKETS,0.0,1849.0,,Entertainment,8,306,Entertainment Expense Ledger,UPI APOLLO PHARMACY CONCERT TICKETS
05-10-2025,UPI-RELIANCE DIGITAL-PHARMACY,0.0,7023.0,,Health & Medical,9,307,Medical Expense Ledger,UPI RELIANCE DIGITAL PHARMACY
02-11-2025,NOV 2025 SALARY CREDIT,69118.0,0.0,,Salary Income,1,201,Salary Ledger,NOV SALARY CREDIT
17-04-2025,UPI-ZOMATO-CONCERT TICKETS,0.0,4070.0,,Entertainment,8,306,Entertainment Expense Ledger,UPI ZOMATO CONCERT TICKETS
08-11-2025,UPI-GOOGLEPAY-ONLINE COURSE,0.0,9403.0,,Education & Books,10,308,Education Expense Ledger,UPI GOOGLEPAY ONLINE COURSE
02-06-2025,UPI-SPOTIFY-ELECTRICITY BILL,0.0,2014.0,,Utilities & Bills,7,305,Utilities Expense Ledger,UPI SPOTIFY ELECTRICITY BILL
24-04-2025,UPI-CREDCLUB-CRED PAYMENT-940135434,0.0,33658.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,UPI CREDCLUB CRED PAYMENT
12-03-2026,UPI-OLA CABS-CONCERT TICKETS,0.0,3757.0,,Entertainment,8,306,Entertainment Expense Ledger,UPI OLA CABS CONCERT TICKETS
18-03-2026,UPI-DOMINOS PIZZA-MEDICAL BILL,0.0,2411.0,,Health & Medical,9,307,Medical Expense Ledger,UPI DOMINOS PIZZA MEDICAL BILL
20-01-2026,UPI-PVR CINEMAS-GAMING,0.0,4754.0,,Entertainment,8,306,Entertainment Expense Ledger,UPI PVR CINEMAS GAMING
20-07-2025,CRISIL LIMITED INTEREST CREDIT-577958,7021.0,0.0,,Investment Income,2,202,Investment Income Ledger,CRISIL LIMITED INTEREST CREDIT
06-05-2025,UPI-SPOTIFY-FOOD,0.0,308.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI SPOTIFY FOOD
06-12-2025,NEFT CR-CREDIT CARD BILL PAYMENT-704351392,0.0,5135.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,NEFT CR CREDIT CARD BILL PAYMENT
08-09-2025,UPI-NATURAL ICE CREAM-MISC-919812,0.0,3250.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI NATURAL ICE CREAM MISC
15-05-2025,UPI-AK JUICE CENTRE-MISC-139901,0.0,737.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI AK JUICE CENTRE MISC
28-09-2025,UPI-ZOMATO-SHOPPING,0.0,6106.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI ZOMATO SHOPPING
13-04-2025,CC BILL PAYMENT-625849588,0.0,55400.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,CC BILL PAYMENT
25-02-2026,OLA CABS PAYMENT-812770819,0.0,769.0,,Transport & Travel,5,303,Travel Expense Ledger,OLA CABS PAYMENT
04-07-2025,UPI-UBER-MISC-906527,1175.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI UBER MISC
28-11-2025,UPI-CREDCLUB-CRED PAYMENT-499562882,0.0,9004.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,UPI CREDCLUB CRED PAYMENT
23-07-2025,APR JUL SALARY,66819.0,0.0,,Salary Income,1,201,Salary Ledger,APR JUL SALARY
07-10-2025,HINDUSTAN UNILEVER LTD INTEREST CREDIT-395138,7883.0,0.0,,Investment Income,2,202,Investment Income Ledger,HINDUSTAN UNILEVER LTD INTEREST CREDIT
17-10-2025,UPI-SPOTIFY-MISC-756005,314.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI SPOTIFY MISC
07-06-2025,UPI-CROSSWORD BOOKSTORE-DINNER,0.0,1468.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI CROSSWORD BOOKSTORE DINNER
19-03-2026,UPI-OLA CABS-MISC-408449,0.0,10141.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI OLA CABS MISC
08-01-2026,UPI-RELIANCE DIGITAL-ELECTRONICS,0.0,9546.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI RELIANCE DIGITAL ELECTRONICS
08-03-2026,UPI-ZERODHA BROKING LTD-CAB RIDE,0.0,6399.0,,Transport & Travel,5,303,Travel Expense Ledger,UPI ZERODHA BROKING LTD CAB RIDE
20-02-2026,NEFT-RENT-827346,0.0,51553.0,,Rent & Housing,4,302,Rent Expense Ledger,NEFT RENT
04-11-2025,DIVIDEND CREDIT HDFC BANK-970678,5483.0,0.0,,Investment Income,2,202,Investment Income Ledger,DIVIDEND CREDIT HDFC BANK
02-03-2026,UPI-ZOMATO-CLOTHING,0.0,6616.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI ZOMATO CLOTHING
03-05-2025,CC BILL PAYMENT-117071962,0.0,77637.0,,Credit Card Payment,11,401,Credit Card Payment Ledger,CC BILL PAYMENT
11-06-2025,UPI-PVR CINEMAS-JUICE,0.0,338.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI PVR CINEMAS JUICE
17-04-2025,DIVIDEND CREDIT RELIANCE INDUSTRIES-765847,1139.0,0.0,,Investment Income,2,202,Investment Income Ledger,DIVIDEND CREDIT RELIANCE INDUSTRIES
28-07-2025,UPI-AMAZON INDIA-MISC-138547,0.0,9312.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI AMAZON INDIA MISC
20-08-2025,UPI-UBER-MISC-846111,6194.0,0.0,,Miscellaneous,12,499,Miscellaneous Ledger,UPI UBER MISC
08-07-2025,UPI-CROSSWORD BOOKSTORE-LUNCH,0.0,491.0,,Groceries & Food,3,301,Groceries Expense Ledger,UPI CROSSWORD BOOKSTORE LUNCH
27-01-2026,UPI-BHARGAV SANDEEP DESAI-CLOTHING,0.0,14678.0,,Shopping & Lifestyle,6,304,Shopping Expense Ledger,UPI BHARGAV SANDEEP DESAI CLOTHING
