Date,Description,Deposit Amount,Withdrawal Amount,Notes,Category Name,Category Id,Ledger Id,Ledger Name
15-08-2025,UPI-APOLLO PHARMACY-MISC-248087,,5048,,Miscellaneous,12,499,Miscellaneous Ledger
13-03-2026,UPI-DMART-COACHING FEES,,2214,,Education & Books,10,308,Education Expense Ledger
23-12-2025,UPI-AK JUICE CENTRE-CLOTHING,,9232,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
04-11-2025,RELIANCE DIGITAL SUBSCRIPTION-466008,,2743,,Entertainment,8,306,Entertainment Expense Ledger
27-05-2025,UPI-ZERODHA BROKING LTD-CAB RIDE,,14631,,Transport & Travel,5,303,Travel Expense Ledger
27-05-2025,UPI-OLA CABS-MOBILE BILL,,3341,,Utilities & Bills,7,305,Utilities Expense Ledger
22-04-2025,CC BILL PAYMENT-667518127,,67707,,Credit Card Payment,11,401,Credit Card Payment Ledger
10-02-2026,UPI-ZOMATO-MOBILE BILL,,1649,,Utilities & Bills,7,305,Utilities Expense Ledger
05-11-2025,DOMINOS PIZZA SUBSCRIPTION-883441,,4360,,Entertainment,8,306,Entertainment Expense Ledger
14-12-2025,UPI-IRCTC UTS-CAB RIDE,,3770,,Transport & Travel,5,303,Travel Expense Ledger
08-04-2025,NEFT CR-SALARY-ASSET VANTAGE,58322,,,Salary Income,1,201,Salary Ledger
20-03-2026,UPI-DMART-MUMBAI TRIP,,12771,,Transport & Travel,5,303,Travel Expense Ledger
29-01-2026,UPI-DOMINOS PIZZA-PHARMACY,,6504,,Health & Medical,9,307,Medical Expense Ledger
17-06-2025,BANK TRANSFER-HOUSE RENT-229350,,33470,,Rent & Housing,4,302,Rent Expense Ledger
06-06-2025,UPI-NETFLIX-SHOPPING,,19646,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
06-06-2025,RELIANCE DIGITAL SUBSCRIPTION-380618,,672,,Entertainment,8,306,Entertainment Expense Ledger
20-07-2025,UPI-NETFLIX-PHARMACY,,6766,,Health & Medical,9,307,Medical Expense Ledger
09-10-2025,OCT 2025 SALARY CREDIT,41633,,,Salary Income,1,201,Salary Ledger
05-09-2025,UPI-FLIPKART-SHOPPING,,11049,,Shopping & Lifestyle,6,304,Shopping Expense Ledger
16-07-2025,UPI-STARBUCKS-CAB RIDE,,11880,,Transport & Travel,5,303,Travel Expense Ledger
09-11-2025,UPI-CREDCLUB-PHARMACY,,3337,,Health & Medical,9,307,Medical Expense Ledger
21-05-2025,UPI-OLA CABS-JUICE,,686,,Groceries & Food,3,301,Groceries Expense Ledger
16-07-2025,BHARGAV SANDEEP DESAI SUBSCRIPTION-953695,,4766,,Entertainment,8,306,Entertainment Expense Ledger
12-08-2025,UPI-AIRTEL PAYMENTS BANK-LUNCH,,1904,,Groceries & Food,3,301,Groceries Expense Ledger
14-09-2025,UPI-AK JUICE CENTRE-CAB RIDE,,12919,,Transport & Travel,5,303,Travel Expense Ledger
